"gene_id"	"AM-WT_R1"	"AM-WT_R2"	"AM-WT_R3"	"CD206neg-IM-CRE_R1"	"CD206neg-IM-CRE_R2"	"CD206neg-IM-CRE_R3"	"CD206neg-IM-WT_R1"	"CD206neg-IM-WT_R2"	"CD206neg-IM-WT_R3"	"CD206pos-IM-CRE_R1"	"CD206pos-IM-CRE_R2"	"CD206pos-IM-CRE_R3"	"CD206pos-IM-WT_R1"	"CD206pos-IM-WT_R2"	"CD206pos-IM-WT_R3"	"Ly6Cpos-Mo-WT_R1"	"Ly6Cpos-Mo-WT_R2"	"Ly6Cpos-Mo-WT_R3"
"ENSMUSG00000000001"	3868	4493	4063	1944	1882	2059	2372	2078	2587	2532	2728	2477	2467	2382	3002	3654	2597	3417
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	123	156	147.001	30	54	82	42	58	39	57	60	82	44	28	58	45	55	57
"ENSMUSG00000000037"	0	3	0	42.999	20	16	26	28	16	34	24.001	15	20	17	14	0	0	2
"ENSMUSG00000000049"	5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000056"	270	373	213	168	266	294	232	290	220	329	331	234	249	254	187	682	694	578
"ENSMUSG00000000058"	1579	1740	1550	790	678	1040	645	616	901	751	840	715	697	763	769	300	248	325
"ENSMUSG00000000078"	7945	8934	7995	22965	19296	22794.999	24395	27445	31168	21207	21631.001	20418	25937.999	26997	32255	6742.001	5105	4972
"ENSMUSG00000000085"	258	278	245	485.999	552	742.999	426.999	540.999	506.001	473	609.999	430.999	513	388.001	565.001	336.001	247.001	208
"ENSMUSG00000000088"	2486	2388	2946	935	1111	1343.001	781	780	677.999	1127	1199	1200	775	661	937	1547	1318	1723
"ENSMUSG00000000093"	52	96	161	157	59	731	77	142	295	80	78	207	154	96	156	47	44	74
"ENSMUSG00000000094"	25	38	68	58	35	277	30	60	104	51	44	76	35	7	60	24	34	14
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	2	4	21	150	166	195	99	118	107	78	104	102	97	93	67	10	18	24
"ENSMUSG00000000125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	2	0	0	11	3	38	0	1	2	0	6	11	5	0	0	0	5	16
"ENSMUSG00000000127"	288	330	269	187.001	167.001	275	235	166	227	428.001	433	367.999	508	557	737.001	23	23	12
"ENSMUSG00000000131"	1750	1807.002	1805.999	1802.001	1910.999	2206	1813.999	2085	1900	1734	2024.999	1505	1909.001	1911	1980.999	2287.999	2318	1745.999
"ENSMUSG00000000134"	1706.001	1696	1839	2962	3244.001	3615	3725.999	3462.002	3840	3378.001	4196.999	3510	4464	3812.999	4655	2986.999	2228.999	2799.002
"ENSMUSG00000000142"	6	24	29	25	34	134.999	10.001	23	28	29	21	73.999	51	24	53	49	14	15
"ENSMUSG00000000148"	481.999	549.001	560	309.999	308	258	277.999	378	222	184	400	219	227.001	336	188	506	341	318
